query_idx,ef_true,RV_log,m_LID
9619,550,0.250756,26.8381
9715,500,0.209938,25.6226
5717,100,0.423042,16.8815
2452,50,0.307059,11.2106
7907,50,0.310128,18.3878
2356,100,0.340766,14.8068
9868,50,0.626702,7.34762
8833,250,0.234414,15.5481
4525,50,0.334139,14.8162
4990,50,0.53079,9.78214
8237,50,0.410433,11.5273
9067,50,0.516376,12.2081
8468,50,0.287357,17.5792
1029,1350,0.192569,28.7326
251,50,0.536801,12.6428
4733,50,0.354213,15.2352
4528,400,0.296084,15.103
817,1800,0.187584,22.6473
3074,2000,0.189167,25.498
5494,50,0.310073,9.73812
102,1500,0.249652,19.4948
3267,50,0.461351,10.8799
4610,2000,0.220248,22.74
4540,50,0.364654,10.5545
8958,300,0.278623,18.7389
3111,1500,0.191065,28.7973
2860,2000,0.195532,23.184
5053,50,0.348557,14.2738
1616,50,0.378426,12.0568
6331,50,0.283226,14.4711
4979,750,0.296088,11.2979
6202,50,0.557134,13.4194
4511,400,0.258203,23.1842
3969,450,0.203832,17.0127
7737,50,0.38429,12.4976
6520,50,0.527173,6.32246
1147,700,0.220416,22.4038
4533,100,0.317606,9.45942
2053,50,0.426289,12.305
6722,50,0.35805,8.15818
9187,50,0.607384,7.87695
1853,50,0.430309,10.1601
236,100,0.204619,15.9212
1393,100,0.406352,15.323
56,200,0.250642,18.5208
1552,150,0.284352,12.0558
497,50,0.307536,17.4967
8123,1450,0.230719,24.0667
3442,50,0.284677,19.3775
8752,1600,0.202823,20.1082
2373,50,0.304395,19.4972
1315,50,0.492598,9.79971
1311,50,0.600416,8.12311
9689,2000,0.239908,24.3077
8361,2000,0.205937,20.9185
1272,450,0.259067,19.1864
4831,200,0.311482,18.7423
9131,50,0.580463,7.09402
9526,2000,0.332835,14.7312
5825,600,0.210593,25.8327
6981,50,0.402094,13.9122
4356,850,0.23848,21.2178
7639,600,0.208854,18.9256
6069,50,0.466475,13.8023
9264,100,0.358773,14.3656
2496,50,0.551951,9.68574
9123,600,0.250255,24.0767
1940,300,0.229509,20.9997
7121,400,0.231403,15.9744
7809,150,0.220232,22.0573
868,50,0.437753,9.27912
9485,50,0.486449,4.85124
3366,2000,0.186685,19.9505
3421,450,0.244922,25.1179
2164,50,0.573014,5.33291
5111,50,0.409252,13.342
5951,50,0.35148,22.1607
9545,50,0.587872,8.625
1952,150,0.32377,13.7723
5797,300,0.193321,25.116
214,450,0.237168,18.1705
5112,50,0.525165,9.50285
3317,50,0.378193,6.24533
9433,2000,0.229896,22.218
2868,100,0.421422,8.89866
719,200,0.212107,23.4677
5438,700,0.286682,13.9076
8827,1100,0.240873,19.9542
4599,1000,0.212311,26.0173
1364,100,0.301321,18.2172
2139,50,0.409414,11.2314
6623,800,0.31748,20.2302
3712,50,0.517202,8.91846
5323,600,0.257233,16.9274
4427,700,0.220172,30.7318
2156,400,0.26992,19.6607
7532,50,0.395839,12.5824
7399,50,0.569785,12.6083
5337,2000,0.235007,19.494
4657,2000,0.20808,28.8588
4498,200,0.270531,17.0158
1228,50,0.383382,9.42202
