RC_bin,RV_bin,ef,actual_recall
"(5.66939,6.48303]","(0.54134,0.555202]","236","0.965"
"(5.66939,6.48303]","(0.555202,0.568005]","157","0.986667"
"(5.66939,6.48303]","(0.568005,0.582622]","78","0.97"
"(5.66939,6.48303]","(0.582622,0.594014]","78","0.956667"
"(5.66939,6.48303]","(0.594014,0.606512]","78","0.95"
"(5.66939,6.48303]","(0.606512,0.622614]","157","0.973333"
"(5.66939,6.48303]","(0.622614,0.634976]","157","0.9725"
"(5.66939,6.48303]","(0.634976,0.650626]","78","0.951429"
"(5.66939,6.48303]","(0.650626,0.667093]","78","0.966667"
"(5.66939,6.48303]","(0.667093,0.684716]","78","0.967778"
"(5.66939,6.48303]","(0.684716,0.701636]","78","0.974444"
"(5.66939,6.48303]","(0.701636,0.723095]","78","0.977273"
"(5.66939,6.48303]","(0.723095,0.745794]","78","0.984"
"(5.66939,6.48303]","(0.745794,0.778149]","78","0.985"
"(5.66939,6.48303]","(0.778149,0.8115]","78","0.991667"
"(5.66939,6.48303]","(0.8115,0.885727]","78","1"
"(6.48303,7.44143]","(0.399463,0.482554]","236","0.95"
"(6.48303,7.44143]","(0.526885,0.54134]","157","0.96"
"(6.48303,7.44143]","(0.555202,0.568005]","157","0.99"
"(6.48303,7.44143]","(0.568005,0.582622]","78","0.955"
"(6.48303,7.44143]","(0.582622,0.594014]","157","0.95"
"(6.48303,7.44143]","(0.594014,0.606512]","157","0.97"
"(6.48303,7.44143]","(0.606512,0.622614]","78","0.951429"
"(6.48303,7.44143]","(0.622614,0.634976]","78","0.955"
"(6.48303,7.44143]","(0.634976,0.650626]","78","0.956667"
"(6.48303,7.44143]","(0.650626,0.667093]","78","0.971667"
"(6.48303,7.44143]","(0.667093,0.684716]","78","0.961667"
"(6.48303,7.44143]","(0.684716,0.701636]","78","0.966923"
"(6.48303,7.44143]","(0.701636,0.723095]","78","0.98"
"(6.48303,7.44143]","(0.723095,0.745794]","78","0.984615"
"(6.48303,7.44143]","(0.745794,0.778149]","78","0.986"
"(6.48303,7.44143]","(0.778149,0.8115]","78","0.995714"
"(6.48303,7.44143]","(0.8115,0.885727]","78","0.988571"
"(7.44143,9.18248]","(0.482554,0.507006]","78","0.97"
"(7.44143,9.18248]","(0.507006,0.526885]","236","0.95"
"(7.44143,9.18248]","(0.526885,0.54134]","236","0.97"
"(7.44143,9.18248]","(0.54134,0.555202]","236","0.955"
"(7.44143,9.18248]","(0.555202,0.568005]","157","0.96"
"(7.44143,9.18248]","(0.582622,0.594014]","157","0.96"
"(7.44143,9.18248]","(0.594014,0.606512]","157","0.975"
"(7.44143,9.18248]","(0.606512,0.622614]","157","0.978"
"(7.44143,9.18248]","(0.622614,0.634976]","157","0.98"
"(7.44143,9.18248]","(0.634976,0.650626]","78","0.971667"
"(7.44143,9.18248]","(0.650626,0.667093]","78","0.96"
"(7.44143,9.18248]","(0.667093,0.684716]","78","0.9625"
"(7.44143,9.18248]","(0.684716,0.701636]","78","0.959091"
"(7.44143,9.18248]","(0.701636,0.723095]","78","0.983333"
"(7.44143,9.18248]","(0.723095,0.745794]","78","0.988571"
"(7.44143,9.18248]","(0.745794,0.778149]","78","0.986"
"(7.44143,9.18248]","(0.778149,0.8115]","78","0.995"
"(7.44143,9.18248]","(0.8115,0.885727]","78","0.9925"
"(9.18248,12.0086]","(0.507006,0.526885]","157","0.95"
"(9.18248,12.0086]","(0.568005,0.582622]","236","0.98"
"(9.18248,12.0086]","(0.582622,0.594014]","157","0.98"
"(9.18248,12.0086]","(0.594014,0.606512]","157","0.99"
"(9.18248,12.0086]","(0.606512,0.622614]","157","0.98"
"(9.18248,12.0086]","(0.622614,0.634976]","157","0.975"
"(9.18248,12.0086]","(0.634976,0.650626]","157","0.978571"
"(9.18248,12.0086]","(0.650626,0.667093]","78","0.958571"
"(9.18248,12.0086]","(0.667093,0.684716]","78","0.967778"
"(9.18248,12.0086]","(0.684716,0.701636]","78","0.975"
"(9.18248,12.0086]","(0.701636,0.723095]","78","0.972222"
"(9.18248,12.0086]","(0.723095,0.745794]","78","0.985714"
"(9.18248,12.0086]","(0.745794,0.778149]","78","0.98875"
"(9.18248,12.0086]","(0.778149,0.8115]","78","0.993571"
"(9.18248,12.0086]","(0.8115,0.885727]","78","0.994444"
"(12.0086,19.8293]","(0.482554,0.507006]","157","0.99"
"(12.0086,19.8293]","(0.507006,0.526885]","236","0.99"
"(12.0086,19.8293]","(0.568005,0.582622]","157","0.98"
"(12.0086,19.8293]","(0.582622,0.594014]","78","0.97"
"(12.0086,19.8293]","(0.594014,0.606512]","236","0.97"
"(12.0086,19.8293]","(0.622614,0.634976]","157","0.99"
"(12.0086,19.8293]","(0.634976,0.650626]","78","0.97"
"(12.0086,19.8293]","(0.650626,0.667093]","78","0.98"
"(12.0086,19.8293]","(0.667093,0.684716]","78","0.965"
"(12.0086,19.8293]","(0.684716,0.701636]","78","0.976667"
"(12.0086,19.8293]","(0.701636,0.723095]","78","0.981818"
"(12.0086,19.8293]","(0.723095,0.745794]","78","0.987"
"(12.0086,19.8293]","(0.745794,0.778149]","78","0.985"
"(12.0086,19.8293]","(0.778149,0.8115]","78","0.994783"
"(12.0086,19.8293]","(0.8115,0.885727]","78","0.995556"
"(19.8293,433.193]","(0.526885,0.54134]","236","0.97"
"(19.8293,433.193]","(0.54134,0.555202]","157","0.96"
"(19.8293,433.193]","(0.555202,0.568005]","236","0.963333"
"(19.8293,433.193]","(0.594014,0.606512]","236","0.96"
"(19.8293,433.193]","(0.606512,0.622614]","157","0.97"
"(19.8293,433.193]","(0.622614,0.634976]","78","0.95"
"(19.8293,433.193]","(0.634976,0.650626]","236","0.99"
"(19.8293,433.193]","(0.650626,0.667093]","78","0.955"
"(19.8293,433.193]","(0.667093,0.684716]","157","0.98"
"(19.8293,433.193]","(0.684716,0.701636]","78","0.99"
"(19.8293,433.193]","(0.701636,0.723095]","78","0.982"
"(19.8293,433.193]","(0.723095,0.745794]","78","0.983333"
"(19.8293,433.193]","(0.745794,0.778149]","78","0.996364"
"(19.8293,433.193]","(0.778149,0.8115]","78","0.995556"
"(19.8293,433.193]","(0.8115,0.885727]","78","0.998"
