query_idx,ef_true,recall_at_ef_true,RV_gamma_0.1,RV_gamma_0.5,RV_gamma_1.0,RV_gamma_2.0,RV_gamma_5.0,RV_gamma_10.0,RV_gamma_20.0
2706,100,1.0,0.4,0.4,0.4,0.4,0.5,0.6,0.7
8320,750,1.0,0.1,0.1,0.1,0.1,0.4,0.9,0.9
1980,250,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.8
4269,50,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.8
6868,550,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.7
4920,100,1.0,0.2,0.2,0.2,0.3,0.4,0.8,0.9
3686,50,1.0,0.2,0.3,0.3,0.4,0.6,0.9,0.9
9087,50,1.0,0.4,0.4,0.4,0.5,0.7,0.8,0.9
377,300,1.0,0.1,0.2,0.2,0.2,0.3,0.6,0.8
6287,150,1.0,0.2,0.2,0.3,0.3,0.4,0.5,0.6
5950,50,1.0,0.3,0.3,0.3,0.4,0.6,0.8,0.9
479,2350,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.2
8956,100,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.6
9346,700,1.0,0.1,0.1,0.1,0.2,0.3,0.4,0.2
5968,850,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
4384,50,1.0,0.2,0.2,0.3,0.3,0.4,0.6,0.8
8587,50,1.0,0.2,0.2,0.2,0.3,0.3,0.4,0.6
929,2750,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.7
6495,100,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
7664,1000,1.0,0.1,0.2,0.2,0.2,0.3,0.5,0.7
6364,1800,1.0,0.1,0.1,0.2,0.2,0.3,0.5,0.7
9925,50,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.8
2677,50,1.0,0.3,0.3,0.4,0.5,0.7,0.9,0.9
733,300,1.0,0.1,0.1,0.1,0.2,0.3,0.6,0.9
3506,3150,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.1
5639,1000,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.6
6338,3150,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.7
7432,100,1.0,0.3,0.3,0.3,0.3,0.4,0.6,0.8
7419,1250,1.0,0.1,0.1,0.1,0.2,0.4,0.9,0.9
3302,50,1.0,0.4,0.4,0.5,0.5,0.7,0.8,0.9
3462,600,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.7
4987,100,1.0,0.2,0.2,0.3,0.3,0.4,0.6,0.8
