RC_bin,RV_bin,ef,actual_recall
"(7.60711,8.3884]","(0.435926,0.454622]","315","0.99"
"(7.60711,8.3884]","(0.454622,0.470667]","315","0.954"
"(7.60711,8.3884]","(0.470667,0.487386]","157","0.98"
"(7.60711,8.3884]","(0.487386,0.501052]","236","0.962"
"(7.60711,8.3884]","(0.501052,0.517294]","236","0.972"
"(7.60711,8.3884]","(0.517294,0.534766]","236","0.985"
"(7.60711,8.3884]","(0.534766,0.550466]","157","0.955"
"(7.60711,8.3884]","(0.550466,0.565932]","157","0.958571"
"(7.60711,8.3884]","(0.565932,0.581181]","157","0.955"
"(7.60711,8.3884]","(0.581181,0.598669]","157","0.972"
"(7.60711,8.3884]","(0.598669,0.617979]","157","0.95875"
"(7.60711,8.3884]","(0.617979,0.634402]","157","0.978571"
"(7.60711,8.3884]","(0.634402,0.663608]","78","0.951667"
"(7.60711,8.3884]","(0.663608,0.683543]","78","0.9575"
"(7.60711,8.3884]","(0.683543,0.714231]","78","0.96375"
"(7.60711,8.3884]","(0.714231,0.748711]","78","0.991667"
"(7.60711,8.3884]","(0.748711,0.794228]","78","0.98"
"(7.60711,8.3884]","(0.794228,0.892743]","78","0.976667"
"(8.3884,9.59071]","(0.454622,0.470667]","157","0.95"
"(8.3884,9.59071]","(0.470667,0.487386]","236","0.97"
"(8.3884,9.59071]","(0.487386,0.501052]","236","0.985"
"(8.3884,9.59071]","(0.501052,0.517294]","236","0.965"
"(8.3884,9.59071]","(0.517294,0.534766]","236","0.95"
"(8.3884,9.59071]","(0.534766,0.550466]","157","0.964"
"(8.3884,9.59071]","(0.550466,0.565932]","78","0.965"
"(8.3884,9.59071]","(0.565932,0.581181]","157","0.971667"
"(8.3884,9.59071]","(0.581181,0.598669]","236","0.978"
"(8.3884,9.59071]","(0.598669,0.617979]","157","0.977273"
"(8.3884,9.59071]","(0.617979,0.634402]","157","0.965714"
"(8.3884,9.59071]","(0.634402,0.663608]","157","0.974545"
"(8.3884,9.59071]","(0.663608,0.683543]","78","0.9525"
"(8.3884,9.59071]","(0.683543,0.714231]","78","0.972727"
"(8.3884,9.59071]","(0.714231,0.748711]","78","0.973846"
"(8.3884,9.59071]","(0.748711,0.794228]","78","0.9825"
"(9.59071,11.3938]","(0.435926,0.454622]","315","0.96"
"(9.59071,11.3938]","(0.470667,0.487386]","315","0.96"
"(9.59071,11.3938]","(0.501052,0.517294]","236","0.955"
"(9.59071,11.3938]","(0.517294,0.534766]","157","0.95"
"(9.59071,11.3938]","(0.534766,0.550466]","236","0.963333"
"(9.59071,11.3938]","(0.550466,0.565932]","157","0.97"
"(9.59071,11.3938]","(0.565932,0.581181]","157","0.96"
"(9.59071,11.3938]","(0.581181,0.598669]","157","0.96"
"(9.59071,11.3938]","(0.598669,0.617979]","157","0.986667"
"(9.59071,11.3938]","(0.617979,0.634402]","157","0.982143"
"(9.59071,11.3938]","(0.634402,0.663608]","78","0.955"
"(9.59071,11.3938]","(0.663608,0.683543]","78","0.96875"
"(9.59071,11.3938]","(0.683543,0.714231]","78","0.991111"
"(9.59071,11.3938]","(0.714231,0.748711]","78","0.975333"
"(9.59071,11.3938]","(0.748711,0.794228]","78","0.99"
"(9.59071,11.3938]","(0.794228,0.892743]","78","0.952"
"(11.3938,14.3796]","(0.487386,0.501052]","315","0.96"
"(11.3938,14.3796]","(0.501052,0.517294]","394","0.97"
"(11.3938,14.3796]","(0.517294,0.534766]","236","0.96"
"(11.3938,14.3796]","(0.534766,0.550466]","157","0.96"
"(11.3938,14.3796]","(0.550466,0.565932]","157","0.983333"
"(11.3938,14.3796]","(0.565932,0.581181]","236","0.98"
"(11.3938,14.3796]","(0.581181,0.598669]","157","0.9625"
"(11.3938,14.3796]","(0.598669,0.617979]","78","0.952222"
"(11.3938,14.3796]","(0.617979,0.634402]","78","0.951667"
"(11.3938,14.3796]","(0.634402,0.663608]","157","0.967143"
"(11.3938,14.3796]","(0.663608,0.683543]","78","0.957273"
"(11.3938,14.3796]","(0.683543,0.714231]","78","0.983077"
"(11.3938,14.3796]","(0.714231,0.748711]","78","0.988182"
"(11.3938,14.3796]","(0.748711,0.794228]","78","0.99"
"(11.3938,14.3796]","(0.794228,0.892743]","78","0.991667"
"(14.3796,24.7255]","(0.501052,0.517294]","236","0.98"
"(14.3796,24.7255]","(0.534766,0.550466]","78","0.95"
"(14.3796,24.7255]","(0.550466,0.565932]","236","0.97"
"(14.3796,24.7255]","(0.565932,0.581181]","78","0.965"
"(14.3796,24.7255]","(0.581181,0.598669]","78","0.9525"
"(14.3796,24.7255]","(0.598669,0.617979]","78","0.965"
"(14.3796,24.7255]","(0.617979,0.634402]","157","0.975"
"(14.3796,24.7255]","(0.634402,0.663608]","78","0.96875"
"(14.3796,24.7255]","(0.663608,0.683543]","78","0.9725"
"(14.3796,24.7255]","(0.683543,0.714231]","78","0.9675"
"(14.3796,24.7255]","(0.714231,0.748711]","78","0.985"
"(14.3796,24.7255]","(0.748711,0.794228]","78","0.991765"
"(14.3796,24.7255]","(0.794228,0.892743]","78","0.996923"
"(24.7255,936564]","(0.410039,0.435926]","709","0.96"
"(24.7255,936564]","(0.487386,0.501052]","631","0.97"
"(24.7255,936564]","(0.501052,0.517294]","473","0.96"
"(24.7255,936564]","(0.534766,0.550466]","315","0.95"
"(24.7255,936564]","(0.550466,0.565932]","315","0.98"
"(24.7255,936564]","(0.565932,0.581181]","315","0.955"
"(24.7255,936564]","(0.581181,0.598669]","315","0.97"
"(24.7255,936564]","(0.598669,0.617979]","157","0.995"
"(24.7255,936564]","(0.617979,0.634402]","157","0.978"
"(24.7255,936564]","(0.634402,0.663608]","78","0.97"
"(24.7255,936564]","(0.663608,0.683543]","78","0.985"
"(24.7255,936564]","(0.683543,0.714231]","78","0.967143"
"(24.7255,936564]","(0.714231,0.748711]","78","0.987143"
"(24.7255,936564]","(0.748711,0.794228]","78","0.996875"
"(24.7255,936564]","(0.794228,0.892743]","78","0.9965"
