query_id,score,recall
1010,70.2075,1
1011,83.1169,0.9
1012,64.8682,0.9
1013,66.8762,1
1014,77.9059,1
1015,79.062,1
1016,53.9028,0.8
1017,87.4967,1
1018,57.3561,1
1019,67.3168,1
1020,65.4063,1
1021,60.8758,0.5
1022,60.7965,0.8
1023,72.0846,0.9
1024,74.2149,1
1025,62.2864,0.5
1026,68.4886,1
1027,70.4867,0.9
1028,63.8994,0.9
1029,65.424,0.8
1030,70.0379,1
1031,70.427,1
1032,72.9332,1
1033,67.9182,0.9
1034,73.3789,1
1035,61.9743,0.7
1036,59.5305,0.7
1037,57.5793,0.7
1038,79.2838,1
1039,80.3691,1
1040,72.5353,1
1041,85.0487,1
1042,65.7845,0.9
1043,76.4611,1
1044,71.2633,0.9
1045,58.1243,0.7
1046,83.5455,1
1047,84.2696,1
1048,65.7274,1
1049,74.3591,1
1050,69.5475,0.9
1051,76.9313,1
1052,68.6577,1
1053,76.8156,0.9
1054,75.3593,0.7
1055,84.3789,1
1056,75.6366,1
1057,66.5157,0.7
1058,64.2207,0.8
1059,74.6916,1
1060,66.785,0.8
1061,70.7238,1
1062,74.2245,1
1063,72.2684,0.9
1064,69.2433,0.7
1065,77.2834,1
1066,78.6424,1
1067,70.2151,0.9
1068,81.5164,1
1069,80.9912,1
1070,64.988,1
1071,67.941,1
1072,72.0007,0.9
1073,55.1604,0.8
1074,71.2789,0.9
1075,68.8766,0.9
1076,71.3931,0.6
1077,74.1478,1
1078,74.1578,1
1079,76.4616,0.8
1080,70.7784,0.9
1081,73.4245,1
1082,84.6433,1
1083,63.8283,1
1084,66.7019,1
1085,71.5872,1
1086,77.2413,0.9
1087,80.3331,1
1088,72.6228,0.8
1089,63.4465,0.8
1090,79.4287,1
1091,85.841,1
1092,74.2473,1
1093,75.4049,1
1094,64.7095,1
1095,75.9916,1
1096,68.502,0.9
1097,82.094,1
1098,76.5548,1
1099,75.9837,1
1100,53.2887,1
1101,81.792,1
1102,77.1295,1
1103,70.3415,1
1104,75.6651,1
1105,65.0316,1
1106,67.5367,0.9
1107,75.5181,1
1108,47.4973,0.8
1109,76.3205,1
1110,66.3276,0.9
1111,78.1107,1
1112,75.5148,1
1113,81.8263,0.9
1114,68.3658,1
1115,69.8846,0.9
1116,76.378,1
1117,80.2149,1
1118,70.5796,0.9
1119,63.8638,0.9
1120,72.7076,1
1121,74.9602,1
1122,72.0169,1
1123,65.7109,0.9
1124,80.8838,1
1125,67.5553,0.8
1126,64.7175,1
1127,78.1325,0.9
1128,68.1631,0.8
1129,72.0277,1
1130,78.3139,1
1131,70.6428,1
1132,63.7917,0.8
1133,77.3929,1
1134,66.8535,1
1135,60.9184,0.4
1136,71.1424,1
1137,68.8581,1
1138,70.1724,1
1139,84.7787,1
1140,67.9828,0.8
1141,68.0113,1
1142,62.2057,0.8
1143,77.6435,1
1144,56.6646,0.7
1145,74.9335,0.9
1146,70.4929,0.8
1147,60.4834,0.9
1148,73.7182,0.8
1149,68.9564,0.8
1150,81.0813,1
1151,64.5828,0.8
1152,67.8297,0.9
1153,80.3717,1
1154,73.4162,1
1155,76.7397,1
1156,72.0003,1
1157,73.687,0.9
1158,75.0966,0.9
1159,60.5421,0.7
1160,66.3711,1
1161,74.4418,0.9
1162,68.4172,1
1163,54.511,1
1164,58.6179,0.9
1165,73.8531,1
1166,66.1499,0.9
1167,69.9626,0.9
1168,68.3443,0.9
1169,71.5255,1
1170,73.355,0.9
1171,68.417,0.8
1172,79.7984,1
1173,73.4108,0.9
1174,62.3947,0.7
1175,63.5294,1
1176,68.4665,1
1177,69.9375,1
1178,70.8718,1
1179,71.2661,1
1180,71.8559,0.9
1181,63.0677,1
1182,71.6735,0.9
1183,62.9438,0.7
1184,73.9221,0.9
1185,75.4331,1
1186,65.3067,0.8
1187,64.3196,1
1188,57.7475,0.6
1189,71.0885,0.9
1190,66.6569,0.9
1191,57.1613,0.5
1192,67.6368,0.8
1193,76.6501,1
1194,78.1709,1
1195,83.0924,1
1196,80.4471,1
1197,74.0554,1
1198,59.5903,0.9
1199,72.9817,1
1200,76.4629,1
1201,64.283,1
1202,73.0692,1
1203,56.9821,0.7
1204,85.1085,1
1205,53.9586,1
1206,71.4884,0.9
1207,61.2975,0.9
1208,79.723,1
1209,71.407,1
1210,77.4348,1
1211,70.0405,1
1212,65.6157,1
1213,74.4953,0.9
1214,74.5719,1
1215,79.6741,1
1216,80.7766,1
1217,63.5075,0.9
1218,69.1138,0.8
1219,53.9023,0.8
1220,72.2752,1
1221,76.6893,1
1222,65.832,0.9
1223,69.3139,1
1224,53.1253,0.8
1225,62.6273,0.8
1226,69.8486,1
1227,67.2386,0.9
1228,65.5427,0.9
1229,72.0326,1
1230,89.0999,1
1231,81.4079,1
1232,68.9686,1
