query_idx,ef_true,MR_gauss_5,MR_log
3753,1000,0.258164,0.225633
8962,100,0.524972,0.441785
7450,50,0.682272,0.560613
8004,100,0.323679,0.227703
6073,350,0.211524,0.251357
5219,200,0.482354,0.424113
1288,50,0.53525,0.407684
1343,100,0.334688,0.268227
9817,50,0.343831,0.358356
3717,50,0.317999,0.26158
6890,50,0.544175,0.296789
7200,50,0.628774,0.572825
5739,150,0.413524,0.370896
3620,50,0.584023,0.48202
7747,100,0.339588,0.267914
7703,200,0.413325,0.38912
9818,100,0.329259,0.339932
7340,4200,0.201164,0.252833
7270,750,0.268938,0.274581
948,100,0.528286,0.407037
1960,50,0.70146,0.578472
7864,3250,0.183615,0.197534
9777,50,0.542013,0.354915
6600,5000,0.309666,0.247439
7926,950,0.202819,0.198302
9835,50,0.310282,0.314228
7326,2600,0.331625,0.331539
4538,350,0.268547,0.250685
2703,600,0.204716,0.196901
1945,50,0.497194,0.401674
648,250,0.194713,0.214862
9330,1250,0.311392,0.273508
5339,500,0.274673,0.250669
7099,50,0.478374,0.462303
7375,100,0.371615,0.351752
1634,100,0.563367,0.434862
7828,50,0.451143,0.3452
2553,3050,0.239434,0.246294
2464,300,0.202852,0.197193
4414,5000,0.298204,0.236253
9086,50,0.694782,0.472941
4037,100,0.456115,0.424667
7575,5000,0.373526,0.264367
578,5000,0.186058,0.211026
1003,3550,0.176987,0.194839
9911,150,0.259377,0.195378
9037,1950,0.196918,0.239135
1508,2750,0.156177,0.199255
6139,50,0.660776,0.549047
4130,150,0.33264,0.333342
7673,50,0.615753,0.485784
4472,200,0.355176,0.303204
5134,50,0.367864,0.289956
1992,800,0.200349,0.221639
9009,250,0.248382,0.234723
270,350,0.225352,0.192788
7422,450,0.326242,0.269268
5667,3100,0.221081,0.227485
7404,50,0.417796,0.289537
8690,50,0.449046,0.38324
3422,350,0.432729,0.255534
9909,100,0.330985,0.279635
9313,300,0.389404,0.288293
5540,50,0.573508,0.472141
4396,50,0.375742,0.404965
9933,400,0.441347,0.38424
4909,150,0.369725,0.298117
5693,5000,0.259764,0.219693
8515,3150,0.266073,0.197024
2815,50,0.555284,0.436103
6384,50,0.500549,0.465145
8047,200,0.455085,0.397817
1935,450,0.241509,0.210813
2907,50,0.56965,0.421842
7692,50,0.698331,0.596377
5431,50,0.316334,0.316098
8543,50,0.617728,0.57777
4330,150,0.236005,0.148549
6259,500,0.44176,0.400684
9478,50,0.732687,0.621878
2975,50,0.56981,0.376683
4851,350,0.296579,0.289483
3819,50,0.43426,0.447958
476,250,0.226769,0.22165
8742,900,0.278304,0.206425
7678,50,0.403113,0.34864
1957,150,0.504541,0.316603
4561,650,0.236159,0.180672
4312,100,0.347652,0.26949
1985,100,0.477464,0.340701
6104,150,0.478769,0.380531
3249,50,0.692782,0.541547
2669,50,0.424168,0.3986
3097,50,0.716292,0.4964
7182,50,0.469561,0.355036
824,250,0.273216,0.253419
6975,100,0.423576,0.333487
9781,1850,0.266502,0.233373
7802,150,0.364169,0.283799
8631,1100,0.216915,0.221026
654,50,0.590601,0.59812
1612,50,0.540478,0.363409
3642,50,0.473176,0.301777
3612,100,0.484704,0.342353
3618,100,0.462677,0.336
3533,1050,0.200417,0.195184
2937,200,0.258178,0.22923
9612,200,0.305268,0.304212
4664,3550,0.209784,0.27543
5905,900,0.263195,0.256372
9483,100,0.33695,0.383839
2581,50,0.498811,0.482337
7434,50,0.587231,0.530628
8003,150,0.440614,0.34894
1997,250,0.227176,0.19455
