query_id,score,recall
905,54.4581,0.66
906,68.8841,0.7
907,85.1651,0.98
908,60.8229,0.64
909,56.2013,0.46
910,47.1321,0.52
911,80.8795,0.98
912,83.7251,1
913,64.9494,0.86
914,59.0839,0.5
915,53.4412,0.12
916,51.2061,0.18
917,66.4519,0.9
918,71.0955,0.94
919,76.8621,0.84
920,49.7838,0.18
921,76.3507,0.86
922,53.4167,0.56
923,62.3976,0.44
924,65.7531,0.72
925,78.1207,0.96
926,60.0397,0.6
927,50.689,0.58
928,72.4538,0.92
929,47.0006,0.22
930,85.3483,0.98
931,41.5846,0.08
932,58.1382,0.66
933,69.2203,0.96
934,76.6502,0.88
935,47.7091,0.5
936,59.5235,0.7
937,74.0151,0.82
938,66.0106,0.18
939,74.8187,0.8
940,53.107,0.92
941,71.7523,0.94
942,61.2584,0.74
943,61.6797,0.92
944,68.5486,0.6
945,58.8594,0.48
946,81.8747,0.9
947,72.7845,0.96
948,83.342,0.7
949,30.6418,0.34
950,79.3342,0.98
951,40.1935,0.36
952,40.9255,0.5
953,51.6328,0.02
954,88.3144,1
955,48.7803,0.44
956,42.3293,0.16
957,85.1596,1
958,69.4554,0.84
959,45.8916,0.52
960,86.6407,1
961,60.6797,0.72
962,56.8795,0.7
963,62.9652,0.56
964,62.7275,0.74
965,65.8818,0.46
966,38.9604,0.32
967,45.2008,0.24
968,58.4681,0.12
969,52.3351,0.44
970,53.7606,0.08
971,46.4603,0.72
972,62.561,0.74
973,62.5489,0.6
974,85.2515,1
975,42.7953,0.48
976,55.9785,0.42
977,40.2134,0.48
978,56.9213,0.52
979,45.2433,0.6
980,78.9404,0.98
981,73.1886,0.94
982,52.4953,0.36
983,67.5287,0.96
984,49.9564,0.46
985,51.629,0.42
986,44.5001,0.44
987,58.3278,0.06
988,45.5793,0.16
989,53.2705,0.74
990,56.102,0.24
991,41.4451,0.54
992,84.7666,0.98
993,80.8672,0.94
994,65.0565,0.24
995,44.3616,0.16
996,59.6486,0.48
997,81.1114,0.94
998,85.8669,0.98
999,52.5467,0.62
1000,65.1607,0.2
1001,72.8706,0.68
1002,72.2058,0.92
1003,42.4467,0.08
1004,79.8446,0.82
1005,48.575,0.56
1006,53.1993,0.06
1007,61.5382,0.28
1008,41.1262,0.76
1009,73.756,0.92
1010,87.8525,1
1011,66.7788,0.82
1012,53.932,0.7
1013,53.0168,0.76
1014,51.3851,0.66
1015,87.3185,1
1016,42.233,0.2
1017,70.7954,0.34
1018,57.8121,0.14
1019,79.9778,0.88
1020,84.8214,0.98
1021,78.0307,0.68
1022,83.303,0.94
1023,42.1565,0.04
1024,79.9068,0.86
1025,83.8956,1
1026,62.2766,0.34
1027,79.9853,1
1028,68.1671,0.26
1029,50.7128,0.24
1030,71.4031,0.96
1031,49.4081,0.28
1032,48.6009,0.06
1033,76.2972,0.96
1034,76.6071,0.42
1035,47.15,0.46
1036,61.8449,0.78
1037,76.8036,0.96
1038,51.981,0.46
1039,55.7521,0.48
1040,61.0486,0.76
1041,82.702,0.9
1042,42.3919,0.38
1043,83.1591,0.96
1044,62.4947,0.28
1045,55.5524,0.68
1046,80.4858,1
1047,51.7006,0.34
1048,69.1782,0.66
1049,77.2706,0.96
1050,52.2272,0.72
1051,60.2967,0.32
1052,70.9102,0.92
1053,83.2677,0.98
1054,59.7817,0.68
1055,31.6417,0.28
1056,50.7377,0.6
1057,59.1903,0.34
1058,52.1844,0.3
1059,47.3707,0.3
1060,65.3753,0.5
1061,78.6727,1
1062,50.9489,0.44
1063,80.6742,0.66
1064,52.6707,0.58
1065,78.8105,0.96
1066,14.1301,0.94
1067,70.0265,0.82
1068,78.8807,0.78
1069,70.7104,0.68
1070,84.3,0.96
1071,57.2878,0
1072,60.1062,0.86
1073,61.3143,0.68
1074,61.8633,0.24
1075,46.1459,0.16
1076,56.2691,0.72
1077,75.0707,0.94
1078,46.319,0.2
1079,76.5218,0.9
1080,53.4393,0.16
1081,79.5215,0.9
1082,46.1309,0.18
1083,82.3341,1
1084,44.7145,0.4
1085,76.5027,0.5
1086,81.9088,0.98
1087,51.1396,0.44
1088,84.4544,0.94
1089,58.3463,0.34
1090,73.4445,0.94
1091,57.2302,0.76
1092,76.5809,0.98
1093,45.6071,0.68
1094,70.9101,0.9
1095,65.6533,0.9
1096,65.1486,0.1
1097,58.4164,0.52
1098,59.3738,0.76
1099,75.4785,0.82
1100,68.0418,0.82
1101,58.639,0.68
1102,54.4316,0.62
1103,67.0254,0.86
1104,66.6077,0.76
1105,51.6925,0.2
1106,64.2069,0.46
1107,81.4187,0.94
1108,71.0686,0.96
1109,58.0021,0.58
1110,81.3113,0.86
1111,85.2747,1
1112,83.7589,1
1113,59.3484,0.24
1114,46.6924,0.78
1115,72.634,0.96
1116,72.3426,1
1117,43.9042,0.6
1118,78.7686,0.74
1119,77.9463,0.98
1120,80.7527,0.94
1121,66.1426,0.36
1122,58.0058,0.68
1123,64.7811,0.62
1124,51.8978,0.54
1125,79.1051,0.98
1126,83.3322,1
1127,56.2214,0.66
1128,59.8415,0.58
1129,44.5438,0.28
1130,53.4953,0.2
1131,33.3102,0.4
1132,59.3133,0.88
1133,76.3823,0.88
1134,62.4784,0.48
1135,78.6724,0.52
1136,84.4987,1
1137,57.9368,0.54
1138,54.1946,0.64
1139,85.4349,0.9
1140,74.954,0.86
1141,74.7109,0.92
1142,63.3428,0.88
1143,79.1235,0.98
1144,54.4202,0.56
1145,75.2575,0.76
1146,39.0855,0.24
1147,48.9349,0.28
1148,55.0647,0.8
1149,59.3326,0.22
1150,85.9236,0.94
1151,62.4876,0.52
1152,64.4204,0.46
1153,70.308,0.88
1154,74.9636,0.9
1155,54.7831,0.02
1156,71.3406,0.8
1157,66.8651,0.7
1158,76.1746,1
1159,66.6651,0.88
1160,82.1187,0.96
1161,65.3301,0.78
1162,69.4814,0.9
1163,54.032,0.22
1164,76.0302,0.68
1165,64.0352,0.24
1166,51.4495,0.1
1167,70.7572,0.78
1168,73.1664,0.92
1169,51.6988,0.24
1170,59.046,0.8
1171,64.226,0.42
1172,77.016,0.4
1173,76.161,0.94
1174,53.0896,0.32
1175,64.3531,0.64
1176,62.9705,0.62
1177,79.4723,0.8
1178,74.5728,0.84
1179,51.2718,0.16
1180,84.0454,0.96
1181,76.6947,0.96
1182,62.4343,0.22
1183,38.4761,0.2
1184,65.1699,0.62
1185,77.9794,0.96
1186,64.244,0.2
1187,52.5551,0.44
1188,52.4301,0.18
1189,63.2431,0.7
1190,81.6336,1
1191,49.804,0.82
1192,62.3356,0.8
1193,67.7382,0.76
1194,83.9782,0.88
1195,32.9936,0.66
1196,84.3688,0.96
1197,68.908,0.42
1198,45.1689,0.1
1199,62.8293,0.74
1200,53.3053,0.82
1201,54.4529,0.8
1202,58.6895,0.24
1203,77.0406,0.96
1204,77.8862,0.9
1205,79.2022,0.98
1206,24.4007,0.74
1207,41.5609,0.06
1208,48.0584,0.5
1209,66.6455,0.74
1210,47.9677,0.48
1211,53.865,0.76
1212,74.5999,0.86
1213,44.7778,0.46
1214,79.1965,0.86
1215,67.1151,0.18
1216,69.5958,0.84
1217,68.6494,0.98
