query_idx,ef_true,MR_raw_gauss,MR_univ_gauss
2073,300,0.297383,0.336597
7449,3600,0.190077,0.315193
5048,50,0.652728,0.56988
9596,50,0.47637,0.433133
3800,50,0.445368,0.392048
4162,150,0.38279,0.361663
6307,250,0.442477,0.379741
3322,200,0.421321,0.301826
1250,950,0.254782,0.320267
8026,200,0.24977,0.222403
587,100,0.429179,0.489419
2968,50,0.731489,0.466781
2547,50,0.420941,0.370377
3778,50,0.449716,0.484869
7027,50,0.807445,0.600978
4235,50,0.563019,0.616489
2572,100,0.443302,0.353132
5573,1600,0.176311,0.313768
4502,1000,0.338549,0.341413
4232,50,0.451585,0.401237
8244,50,0.75918,0.580102
3848,150,0.324957,0.480917
4582,50,0.446194,0.245289
234,1050,0.290447,0.329012
8662,50,0.634772,0.522745
9669,50,0.527877,0.428596
7118,50,0.641779,0.521227
4297,50,0.530176,0.609424
7042,50,0.457126,0.458636
3288,1250,0.284221,0.414821
323,1050,0.306099,0.382842
1277,50,0.762547,0.420391
8679,50,0.490304,0.426576
271,850,0.311839,0.284254
9444,50,0.601577,0.387504
62,1300,0.194816,0.295307
7441,800,0.209159,0.312516
7421,2500,0.188197,0.332771
8438,5000,0.399362,0.414169
3614,950,0.208287,0.301974
7596,1800,0.202922,0.404629
792,50,0.537663,0.609011
401,50,0.596395,0.487335
2343,50,0.474891,0.517352
5192,100,0.475082,0.500608
356,50,0.688652,0.617912
118,50,0.721219,0.596922
4290,300,0.189959,0.227085
9642,50,0.391119,0.348016
9639,50,0.707256,0.43815
831,4800,0.20076,0.310616
9756,50,0.431854,0.524591
7084,1300,0.217679,0.338252
1507,200,0.178496,0.333712
3962,800,0.235063,0.312447
9213,1250,0.273266,0.333103
3633,1150,0.243683,0.347459
1802,2050,0.246869,0.288078
3884,50,0.409361,0.332689
3280,50,0.440979,0.5315
8505,200,0.397387,0.510702
8756,3350,0.17454,0.265548
2294,1950,0.23048,0.329893
8849,5000,0.191178,0.390545
6040,50,0.472352,0.399044
4286,50,0.549997,0.541777
8234,150,0.315996,0.318638
5912,200,0.34768,0.368161
9033,5000,0.186086,0.307885
5967,50,0.526029,0.376568
586,50,0.521425,0.340011
1048,500,0.366088,0.365511
1428,50,0.413387,0.480657
8801,250,0.320504,0.388614
2771,50,0.283131,0.311197
197,50,0.732015,0.529979
7022,400,0.321672,0.304019
3100,750,0.280884,0.346437
725,150,0.433665,0.469544
4355,50,0.81069,0.509411
3325,50,0.785255,0.684165
9651,50,0.385276,0.398752
1499,450,0.187279,0.3324
8010,350,0.254218,0.359948
8809,2800,0.483564,0.319593
2820,250,0.288075,0.326032
8455,50,0.661155,0.603682
9823,150,0.271867,0.341206
6619,50,0.835575,0.671492
5788,50,0.380092,0.405836
6677,50,0.640116,0.458491
515,50,0.407276,0.526882
6718,550,0.325062,0.317114
5804,100,0.371443,0.356767
3494,100,0.508783,0.456316
2023,50,0.463641,0.460229
1293,1150,0.272552,0.36452
2162,1500,0.373674,0.336313
4707,950,0.227534,0.366003
3559,50,0.475905,0.473751
7760,50,0.329205,0.35664
2584,50,0.750413,0.711773
4418,650,0.277164,0.286984
375,100,0.595846,0.51498
3601,50,0.536058,0.52915
7910,100,0.537233,0.488062
6528,700,0.224691,0.313451
1528,50,0.549329,0.459489
8511,100,0.467399,0.584014
4008,450,0.222132,0.263625
9255,250,0.275417,0.218032
5987,50,0.494984,0.289897
8965,50,0.679985,0.570079
2939,2350,0.342342,0.322277
6183,400,0.310522,0.287691
4523,2250,0.178687,0.30884
5796,150,0.559453,0.470384
7265,300,0.209904,0.263652
8240,50,0.298816,0.381472
1974,650,0.218626,0.370141
1543,50,0.651213,0.567708
7964,50,0.640617,0.578496
8493,250,0.230453,0.326634
3441,350,0.46118,0.387458
8177,2400,0.332995,0.348613
1697,50,0.599758,0.411727
8378,50,0.400407,0.420038
4019,50,0.698254,0.585806
5885,250,0.221817,0.273494
4802,100,0.45081,0.274388
1316,200,0.309011,0.358173
9534,550,0.244715,0.296358
9582,50,0.658263,0.639122
7911,50,0.363063,0.410105
2340,250,0.28204,0.287263
5418,350,0.337712,0.228991
5755,50,0.299295,0.234496
6274,50,0.373381,0.330062
4416,200,0.348471,0.297532
636,50,0.626498,0.417521
8554,1200,0.340366,0.324967
2611,400,0.214619,0.307294
7952,5000,0.200762,0.332304
617,150,0.363472,0.282925
3469,1200,0.258958,0.348489
9432,50,0.384428,0.449256
9859,50,0.528452,0.589669
7094,2800,0.281256,0.373659
4070,1400,0.207736,0.262702
3911,1300,0.223842,0.379122
6696,50,0.53764,0.525633
4994,650,0.180994,0.339987
3303,50,0.573758,0.513995
